Questions,Choices,Correct
What is the capital of Canada?,"['A: Ottawa', 'B: Tbilisi']",A
What is the longest river in the world?,"['A: Nile', 'B: Amazon']",A
What country has the most natural lakes?,"['A: Canada', 'B: Sweden']",A
What is the capital city of Australia?,"['A: London', 'B: Canberra']",B
Which country is known as the Land of the Rising Sun?,"['A: Germany', 'B: Japan']",B
Which U.S. state is known as the Sunshine State?,"['A: Georgia', 'B: Florida']",B
What is the capital of Italy?,"['A: Berlin', 'B: Rome']",B
What is the largest island in the Mediterranean Sea?,"['A: Sardinia', 'B: Sicily']",B
What is the largest country in Africa by area?,"['A: Algeria', 'B: Sudan']",A
What is the capital of New Zealand?,"['A: Wellington', 'B: Paris',]",A
