Questions,Correct
Which planet was downgraded to a dwarf planet in 2006?,Pluto
What year was the Paris Agreement signed?,2015
Who was the first woman to be elected Vice President of the United States in 2020?,Kamala Harris
What is the only planet that spins clockwise,Venus
What is the biggest planet in our solar system?,Jupiter
What is the process by which plants convert sunlight into energy called?,Photosynthesis
In which Shakespeare play does the character Ophelia appear?,Hamlet
Which Dutch painter is known for his works featuring sunflowers?,Vincent van Gogh
Which film won the Best Picture Oscar in 2020?,Parasite
Which country was the birthplace of the Renaissance?,Italy
